Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Belize,448979231.7,479114376.3,518239092.0,559866737.4,580860824.4,620137389.6,641371817.2,654299589.3,689004427.3,732704759.2,832055642.4,868355400.5,925094946.7,983525063.8,1051413289.0,1102033846.0,1210192539.0,1271625447.0,1351336299.0,1317311309.0,1377183408.0,1460795789.0,1522904296.0,1579376967.0,1662802599.0,1723751925.0,1775095360.0
Benin,1992945917.0,2019865503.0,2283485033.0,2312834771.0,1624967615.0,2344816640.0,2551696173.0,2451386169.0,2653255921.0,2689781271.0,2569194696.0,2680244752.0,3054602273.0,3905302953.0,4521331391.0,4803670894.0,5142316983.0,5969433077.0,7132854643.0,7097236703.0,6970250937.0,7814111059.0,8117081029.0,9110748135.0,9575259954.0,8454197031.0,8579068573.0
Bhutan,273598495.5,233145213.4,234707194.9,220855205.6,259556847.1,289140041.5,305644026.4,356325131.5,360374105.9,401812669.0,439137348.6,476399264.7,537052709.7,621983244.1,702730206.1,818875921.3,897723166.6,1196085444.0,1258335818.0,1264761254.0,1585461953.0,1820206468.0,1823692730.0,1798326334.0,1958813167.0,2059833928.0,2219673501.0
Bolivia,4867583881.0,5343262434.0,5643867693.0,5734706239.0,5981149294.0,6715147012.0,7396948369.0,7925736316.0,8497494131.0,8285063968.0,8397855942.0,8141517335.0,7905485150.0,8082399992.0,8773156956.0,9549120156.0,11451845965.0,13120084507.0,16674309556.0,17340028490.0,19649786223.0,23963162972.0,27084497483.0,30659335972.0,32996188013.0,33000198248.0,33941096779.0
Bosnia and Herzegovina,7754757745.0,6115683538.0,4734632240.0,3630673741.0,2818242337.0,2033745604.0,2825215781.0,3879200611.0,4336295812.0,4804203558.0,5693132324.0,5945597492.0,6896389893.0,8712814344.0,10410125222.0,11222799184.0,12864835433.0,15778758105.0,19112750320.0,17613979145.0,17176348615.0,18644228836.0,17226736264.0,18179063622.0,18558736800.0,16211623095.0,16912942682.0
Botswana,3721284135.0,3867406992.0,4069143639.0,4082613650.0,4259264751.0,4730596471.0,4847738374.0,5020261909.0,4790490629.0,5484249427.0,5788308123.0,5489636835.0,5438835442.0,7511479837.0,8957541980.0,9931243662.0,10127006873.0,10939019695.0,10945122570.0,10267068267.0,12786618759.0,15351935620.0,14420224148.0,14901720209.0,16250748174.0,14420571192.0,15646367681.0
Brazil,407000000000.0,379000000000.0,363000000000.0,407000000000.0,580000000000.0,778000000000.0,850000000000.0,882000000000.0,854000000000.0,594000000000.0,652000000000.0,561000000000.0,512000000000.0,559000000000.0,669000000000.0,892000000000.0,1110000000000.0,1400000000000.0,1700000000000.0,1670000000000.0,2210000000000.0,2620000000000.0,2470000000000.0,2470000000000.0,2460000000000.0,1800000000000.0,1800000000000.0
Brunei,3900702409.0,4101104064.0,4636736503.0,4549431934.0,4529039210.0,5245421237.0,5668184453.0,5758127022.0,4487538132.0,5096498703.0,6649709092.0,6206200903.0,6474732994.0,7265920303.0,8722767582.0,10561292509.0,12709854523.0,13570654027.0,15948702092.0,11892307477.0,13707116269.0,18524790774.0,19048443088.0,18094152875.0,17097795711.0,12930298314.0,11400266878.0
Bulgaria,20726046151.0,8402105550.0,9475818032.0,11930912799.0,10691885558.0,18991867154.0,12294768638.0,11316138044.0,15031028767.0,13637088333.0,13245989757.0,14183443989.0,16403044328.0,21144939453.0,26157739902.0,29868633894.0,34380556801.0,44403572391.0,54438234742.0,51999427155.0,50363577745.0,57365312542.0,54012052717.0,55592628960.0,56883849689.0,50630681923.0,53783762743.0
Burkina Faso,3524058875.0,3562226789.0,3814198238.0,3635621466.0,2153638075.0,2703731709.0,2938969070.0,2781169473.0,3187074344.0,3388341752.0,2961056021.0,3187554772.0,3605368604.0,4730211919.0,5441953836.0,6143880443.0,6541526021.0,7615595700.0,9413243698.0,9412810340.0,10099798414.0,12064440607.0,12561721331.0,13440413388.0,13924537615.0,11823183216.0,12822519656.0
Burundi,1148320305.0,1167400529.0,1086803942.0,974858064.2,1068820512.0,1000430585.0,868960704.0,972854233.8,893695096.0,808150970.6,709113236.7,662345849.9,628102024.6,595481935.6,679885071.5,1117108623.0,1273375246.0,1356200532.0,1611837097.0,1775495992.0,2032138566.0,2235809707.0,2327402676.0,2451628107.0,2705829785.0,2810532746.0,2930091321.0
